ID,Groups,Description,Baseline [06-23 00:20],[06-23 01:40],[06-23 01:44],[06-23 04:59],[06-23 05:04]
,round-trip,the model-version stamp is preserved across decode,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,checkSomModelVersion,an unparseable document stamp is rejected,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,decode tolerance,a missing document pass decodes as empty rather than throwing,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,decode tolerance,an empty string decodes as empty,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,,YAML decode→memory→encode is byte-stable and preserves the stamp,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,resolve by path,"unknown root, unknown field, and over-deep leaf are unresolvable",OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,,Markdown export is byte-stable against the committed golden,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,,Markdown parse→memory→export is clean and byte-stable,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,,reflection cases match the committed expectations,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,,validation cases match the committed expectations,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,,operations script replays with the committed results,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecModel.fromJson,"decodes roots, classes, and the version stamp",OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecModel.fromJson,an unstamped export reports modelVersion 0 and null label,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecModel.fromJson,decodes field kinds and shape,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecModel.fromJson,an enum field carries its Dart enum type name and values,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecAnnotation,class-level annotations are captured losslessly,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,enumeration,roots and classes,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecAnnotation,field-level annotations are captured,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,enumeration,fields and annotations of a class,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,resolve by path,bare root,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,resolve by path,content leaf,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,resolve by path,form section,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,resolve by path,list container,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,resolve by path,complex list item descends into the element class,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,resolve by path,field inside a list item,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,resolve by path,enum inside a list item,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,resolve by path,scalar list item,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,resolve by path,complex field collapses into its class,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,decode tolerance,the raw review pass is passed through untouched,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,,Markdown route lands in the shared memory representation,--/OK,OK/OK,OK/OK,OK/OK,OK/OK
